table,column,human_name,used_count,total_w2,used_pct,grade,should,notes,date_filter
breeding_related_dog,approval_status,Approval Status,14077,14856,94.76,B,should,,created_at
breeding_related_dog,is_dead,Is Dead,13,14856,0.09,F,shouldn't,,created_at
breeding_related_dog,mother_sagir_id,Mother Sagir Id,14856,14856,100.00,A,should,,created_at
breeding_related_dog,breeding_id,Breeding Id,14856,14856,100.00,A,should,,created_at
breeding_related_dog,note,Note,1394,14856,9.38,D,shouldn't,,created_at
breeding_related_dog,supervisor_notes,Supervisor Notes,1342,14856,9.03,D,shouldn't,,created_at
breeding_related_dog,image,Image,75,14856,0.50,F,shouldn't,,created_at
breeding_related_dog,document,Document,4,14856,0.03,F,shouldn't,,created_at
breeding_related_dog,created_at,Created At,14856,14856,100.00,A,should,,created_at
breeding_related_dog,updated_by,Updated By,75,14856,0.50,F,shouldn't,Date/time semantics; check timezone and nullability.,created_at
breeding_related_dog,updated_at,Updated At,14856,14856,100.00,A,should,Date/time semantics; check timezone and nullability.,created_at
breeding_related_dog,deleted_at,Deleted At,0,14856,0.00,F,shouldn't,,created_at
breeding_related_dog,hair,Hair,14652,14856,98.63,A,should,,created_at
breeding_related_dog,is_submit,Is Submit,14856,14856,100.00,A,should,,created_at
breeding_related_structure,StructureID,Structure Id,0,0,0.00,A,should,Likely foreign key; verify relation mapping.,created_at
breeding_related_structure,BreedingID,Breeding Id,0,0,0.00,A,should,Likely foreign key; verify relation mapping.,created_at
breeding_related_structure,ShowID,Show Id,0,0,0.00,A,should,Likely foreign key; verify relation mapping.,created_at
breeding_related_structure,ShowArenaID,Show Arena Id,0,0,0.00,A,should,Likely foreign key; verify relation mapping.,created_at
breeding_related_structure,JudgeID,Judge Id,0,0,0.00,A,should,Likely foreign key; verify relation mapping.,created_at
breeding_related_structure,OrderID,Order Id,0,0,0.00,A,should,Likely foreign key; verify relation mapping.,created_at
breeding_related_structure,created_at,Created At,0,0,0.00,F,shouldn't,,created_at
breeding_related_structure,updated_by,Updated By,0,0,0.00,F,shouldn't,Date/time semantics; check timezone and nullability.,created_at
breeding_related_structure,updated_at,Updated At,0,0,0.00,F,shouldn't,Date/time semantics; check timezone and nullability.,created_at
breeding_related_structure,deleted_at,Deleted At,0,0,0.00,F,shouldn't,,created_at
breeds2clubs,id,Id,0,0,0.00,A,should,,created_at
breeds2clubs,breed_id,Breed Id,0,0,0.00,A,should,,created_at
breeds2clubs,breed_code,Breed Code,0,0,0.00,F,shouldn't,,created_at
breeds2clubs,club_id,Club Id,0,0,0.00,A,should,,created_at
breeds2clubs,created_at,Created At,0,0,0.00,F,shouldn't,,created_at
breeds2clubs,updated_at,Updated At,0,0,0.00,F,shouldn't,Date/time semantics; check timezone and nullability.,created_at
breeds2clubs,deleted_at,Deleted At,0,0,0.00,F,shouldn't,,created_at
BreedsDB,id,Id,17,17,100.00,A,should,,created_at
BreedsDB,DataID,Data Id,2,17,11.76,A,should,,created_at
BreedsDB,ModificationDateTime,Modification Date Time,1,17,5.88,D,shouldn't,Date/time semantics; check timezone and nullability.,created_at
BreedsDB,CreationDateTime,Creation Date Time,1,17,5.88,D,shouldn't,Date/time semantics; check timezone and nullability.,created_at
BreedsDB,BreedName,Breed Name,17,17,100.00,A,should,,created_at
BreedsDB,BreedCode,Breed Code,17,17,100.00,A,should,,created_at
BreedsDB,Desc,Desc,16,17,94.12,B,should,,created_at
BreedsDB,BreedNameEN,Breed Name En,17,17,100.00,A,should,,created_at
BreedsDB,GroupID,Group Id,16,17,94.12,A,should,Likely foreign key; verify relation mapping.,created_at
BreedsDB,FCICODE,Fcicode,16,17,94.12,B,should,,created_at
BreedsDB,UserManagerID,User Manager Id,0,17,0.00,A,should,Likely foreign key; verify relation mapping.,created_at
BreedsDB,ClubManagerID,Club Manager Id,0,17,0.00,A,should,Likely foreign key; verify relation mapping.,created_at
BreedsDB,fci_group,Fci Group,16,17,94.12,B,should,,created_at
BreedsDB,status,Status,17,17,100.00,A,should,,created_at
BreedsDB,created_at,Created At,17,17,100.00,A,should,,created_at
BreedsDB,updated_at,Updated At,17,17,100.00,A,should,Date/time semantics; check timezone and nullability.,created_at
BreedsDB,deleted_at,Deleted At,0,17,0.00,F,shouldn't,,created_at
breed_club,id,Id,17,17,100.00,A,should,,created_at
breed_club,breed_id,Breed Id,17,17,100.00,A,should,,created_at
breed_club,club_id,Club Id,17,17,100.00,A,should,,created_at
breed_club,created_at,Created At,17,17,100.00,A,should,,created_at
breed_club,updated_at,Updated At,17,17,100.00,A,should,Date/time semantics; check timezone and nullability.,created_at
breed_club,deleted_at,Deleted At,0,17,0.00,F,shouldn't,,created_at
breed_requirements,id,Id,11,11,100.00,A,should,,created_at
breed_requirements,breed_id,Breed Id,11,11,100.00,A,should,,created_at
breed_requirements,requirement,Requirement,11,11,100.00,A,should,,created_at
breed_requirements,created_at,Created At,11,11,100.00,A,should,,created_at
