table,column,window,total,empty_count,non_empty_count,non_empty_pct,distinct_non_empty,notes
shows_registration,registered_by,W1,460,460,0,0.00,,
shows_registration,SagirID,W1,460,0,460,100.00,,match to DogsDB = 445
shows_registration,ShowID,W1,460,0,460,100.00,,
shows_registration,Owner_Email,W1,460,32,428,93.04,,avg_len≈20.20
shows_registration,Owner_City,W1,460,244,216,46.96,,
shows_registration,ClassID,W2,27849,2159,25690,92.25,,match to Classes = 25690
shows_registration,registered_by,W2,27849,6534,21315,76.53,,
shows_registration,SagirID,W2,27849,119,27730,99.57,,match to DogsDB = 27744
shows_registration,ShowID,W2,27849,0,27849,100.00,,
shows_registration,Owner_Email,W2,27849,142,27707,99.49,,avg_len≈20.50
shows_registration,Owner_City,W2,27849,2037,25812,92.68,,
shows_payments_info,SagirID,W1,377,1,376,99.73,351,match DogsDB=377
shows_payments_info,RegistrationID,W1,377,0,377,100.00,374,match Registration=323
shows_payments_info,PaymentAmount,W1,377,0,377,100.00,,min=115,max=1050,avg≈256.72
shows_payments_info,SagirID,W2,20634,2,20632,99.99,5325,match DogsDB=20634
shows_payments_info,RegistrationID,W2,20634,0,20634,100.00,20634,match Registration=20632
shows_payments_info,PaymentAmount,W2,20634,0,20634,100.00,,min=5,max=3300,avg≈262.49
JudgesDB,BreedID,W1,284,277,7,2.46,7,Rare usage
JudgesDB,Country,W1,284,0,284,100.00,56,
JudgesDB,JudgeNameHE,W1,284,0,284,100.00,,
JudgesDB,JudgeNameEN,W1,284,0,284,100.00,,
JudgesDB,BreedID,W2,93,93,0,0.00,0,Rare/unused
JudgesDB,Country,W2,93,0,93,100.00,38,
JudgesDB,JudgeNameHE,W2,93,0,93,100.00,,
JudgesDB,JudgeNameEN,W2,93,0,93,100.00,,
show_winners,couples,W2,28,3,25,89.29,,,optional block
show_winners,couples2,W2,28,4,24,85.71,,,optional block
show_winners,couples3,W2,28,13,15,53.57,,,optional block
show_winners,breeding_houses,W2,28,8,20,71.43,,,optional block
show_winners,breeding_houses2,W2,28,11,17,60.71,,,optional block
show_winners,breeding_houses3,W2,28,17,11,39.29,,,optional block
show_winners,puppies,W2,28,19,9,32.14,,,optional block
show_winners,puppies2,W2,28,23,5,17.86,,,optional block
show_winners,puppies3,W2,28,25,3,10.71,,,optional block
DogsDB,RaceID,ALL,259230,0,259230,100.00,?,match to BreedCode=259196
