show_id,arena_id,class_id,sagir_id,has_result,result_data_id
1378,2176,310167,1011776,1,55863
1378,2176,310169,1005891,1,55869
1378,2176,310170,1005895,1,55884
1378,2176,310171,151404,1,55877
1378,2176,310171,1001010,1,55876
1378,2176,310183,1017938,0,0
1378,2176,310183,1020901,0,0
1378,2176,310184,1006413,0,0
1378,2176,310184,1006414,0,0
1378,2176,310185,1002592,0,0
1378,2176,310186,1002594,0,0
1378,2176,310186,1002595,0,0
1378,2176,310186,1002647,0,0
1378,2176,310187,146050,0,0
1378,2176,310187,1004459,0,0
1378,2176,310188,19702,0,0
1378,2176,310188,153400,0,0
1378,2176,310192,148529,0,0
1378,2176,310220,1000532,0,0
1378,2176,310283,18669,0,0
1378,2176,310287,18718,0,0
1378,2176,310312,1016494,1,56266
1378,2176,310316,1016526,1,56366
1378,2176,310344,1020518,1,55422
1378,2176,310347,1001020,1,55407
1378,2176,310348,1001024,0,0
1378,2176,310351,144130,1,55418
1378,2176,310383,1003165,1,55435
1378,2176,310392,1019538,0,0
1378,2176,310394,1016747,0,0
1378,2176,310399,18312,0,0
1378,2176,310405,1021295,1,55324
1378,2176,310411,1005403,1,55336
1378,2176,310412,146581,1,55350
1378,2176,310412,152670,1,55365
1378,2176,310415,142654,1,55343
1378,2176,310473,1010794,1,55862
1378,2176,310506,1004400,1,55552
1378,2176,310515,1021172,0,0
1378,2176,310515,1021175,0,0
1378,2176,310516,1020576,0,0
1378,2176,310519,1012034,0,0
1378,2176,310519,1017594,0,0
1378,2176,310519,1017595,0,0
1378,2176,310520,1007387,0,0
1378,2176,310521,1002072,0,0
1378,2176,310521,1005733,0,0
1378,2176,310522,1004644,0,0
1378,2176,310522,1004651,0,0
1378,2176,310523,152030,0,0
1378,2176,310523,1001751,0,0
1378,2176,310524,143311,0,0
1378,2176,310524,1001225,0,0
1378,2176,310525,153092,0,0
1378,2176,310526,148326,0,0
1378,2176,310526,1004645,0,0
1378,2176,310527,151578,0,0
1378,2176,310528,139884,0,0
1378,2176,310528,152931,0,0
1378,2176,310599,1018644,1,55445
1378,2176,310604,1000266,1,55467
1378,2177,310680,1019093,1,55108
1378,2177,310683,1000306,1,55079
1378,2177,310683,1000652,1,55083
1378,2177,310687,19255,1,55088
1378,2177,310687,151473,1,55098
1378,2177,310688,18985,1,55115
1378,2177,310688,19279,1,55122
1378,2177,310688,151474,1,55125
1378,2177,310688,151474,1,55126
1378,2177,310690,16105,1,55136
1378,2177,310699,1002830,1,55177
1378,2177,310699,1002836,1,55170
1378,2177,310700,1002834,1,55186
1378,2177,310704,16459,1,55189
1378,2177,310748,147740,1,55368
1378,2177,310751,19292,1,55250
1378,2177,310752,141737,1,55373
1378,2177,310792,1016617,1,55029
1378,2177,310792,1021131,1,55024
1378,2177,310795,1001154,1,55012
1378,2177,310796,152457,1,55033
1378,2177,310796,1001148,1,55045
1378,2177,310799,150291,1,55013
1378,2177,310802,123504,1,55052
1378,2177,310809,1004593,1,55251
1378,2177,310810,1001540,1,55240
1378,2177,310811,17861,1,55272
1378,2177,310811,147093,1,55280
1378,2177,310815,18454,1,55282
1378,2177,310815,150213,1,55291
1378,2177,310816,136335,1,55330
1378,2177,310816,139787,1,55337
1378,2177,310816,141401,1,55340
1378,2177,310817,120113,1,55302
1378,2177,310818,127364,1,55345
1378,2177,310835,1020343,1,55606
1378,2177,310835,1020986,1,55612
1378,2177,310836,1020988,1,55616
1378,2177,310837,1019327,1,55622
1378,2177,310838,1017985,1,55634
1378,2177,310839,1005707,1,55651
1378,2177,310839,1005708,1,55645
1378,2177,310839,1016555,1,55659
1378,2177,310840,1006416,1,55710
1378,2177,310840,1006641,1,55718
1378,2177,310840,1008856,1,55743
1378,2177,310840,1008858,1,55736
1378,2177,310840,1008921,1,55716
1378,2177,310840,1016608,1,55748
1378,2177,310840,1018970,1,55729
1378,2177,310841,1004491,1,55670
1378,2177,310841,1006146,1,55669
1378,2177,310842,1002609,1,55777
1378,2177,310842,1004493,1,55786
1378,2177,310842,1006230,1,55794
1378,2177,310843,153259,1,55683
1378,2177,310843,1021067,1,55675
1378,2177,310844,1000451,1,55802
1378,2177,310844,1000452,1,55809
1378,2177,310847,16452,1,55690
1378,2177,310847,19310,1,55695
1378,2177,310870,1020956,1,55483
