show_id,registration_id,registered_by,sagir_id,dog_name_he,arena_id,class_id
1378,17956,231662,1017582,"Amica Donna Mia",2183,312808
1378,17957,0,19146,,2182,312320
1378,17958,254419,146463,,2179,311503
1378,17959,258467,1004020,"EL TAJ",2184,313049
1378,17970,0,141330,,2183,312656
1378,17971,0,151652," Nisan Solaris",2183,312655
1378,17972,0,1005371,Tiffany,2183,312650
1378,17973,0,1017605,"EVA MARIA",2183,312648
1378,17974,0,1018797,,2183,312938
1378,17975,0,1018870,,2183,312935
1378,17975,0,1018870,,2183,312935
1378,17975,0,1018870,,2183,312935
1378,17988,251725,1017021,,2181,312151
1378,17990,257865,1002822,"Sam Samuel",2183,312587
1378,17993,249747,917959,"Belle The Little Princess",2177,311136
1378,18002,0,1020853,,2178,311239
1378,18007,231784,151770,"Cherry Blossom Beloved Cheddar",2182,312284
1378,18008,231784,1004829,,2182,312281
1378,18009,231784,1019366,,2182,312280
1378,18014,250490,1006796,"Aidan Golden Boy",2183,312457
1378,18020,0,1014797,Dryada,2175,309870
1378,18023,259936,1005967,,2177,310924
1378,18029,254556,1000276,,2179,311291
1378,18030,254556,1016683,,2179,311288
1378,18032,261374,1014794,Darys,2175,309867
1378,18049,0,1000167,,2174,309389
1378,18052,259208,1004952,"Amalteya Sendy Blaze of Glory",2175,309978
1378,18054,259867,1005838,Nira,2175,310010
1378,18058,256550,1001031,"Aurora Utrenyaya Zarya",2183,312778
1378,18067,248622,1000247,,2182,312255
1378,18068,248622,1001970,"Amore Mia",2182,312250
1378,18069,248622,1003968,,2183,312671
1378,18070,248622,1016235,ערבה,2182,312234
1378,18071,0,1006794,"Acidanthera Terra Nova",2183,312458
1378,18087,254563,1003996,,2183,312720
1378,18088,0,1000278,,2183,312879
1378,18088,0,1000278,,2183,312879
1378,18091,258119,1003145,,2175,309947
1378,18100,228636,1001061,,2174,309259
1378,18101,228840,151473,"Agent Provocateur",2177,310687
1378,18102,228840,151474,"Always With You",2177,310688
1378,18106,249618,19111,,2177,310959
1378,18115,263121,1019319,"LUXURY DIVA TIFFANY",2183,312872
