show_id,registration_id,payments_count,total_amount
1526,24974,1,470
1526,24975,1,175
1526,24976,1,155
1526,24979,1,175
1526,24981,1,175
1526,24986,1,175
1526,24988,1,175
1526,24990,1,175
1526,24991,1,175
1526,24993,1,175
1526,24995,1,175
1526,24996,1,330
1526,24997,1,330
1526,24998,1,175
1526,25000,1,120
1526,25001,1,175
1526,25002,1,175
1526,25003,1,460
1526,25004,1,460
1526,25005,1,460
1526,25007,1,80
1526,25008,1,175
1526,25012,1,175
1526,25013,1,175
1526,25014,1,175
1526,25016,1,175
1526,25018,1,155
1526,25020,1,175
1526,25022,1,350
1526,25023,1,120
1526,25035,1,175
1526,25039,1,175
1526,25041,1,130
1526,25047,1,175
1526,25048,1,175
1526,25049,1,590
1526,25050,1,590
1526,25051,1,175
1526,25052,1,175
1526,25054,1,330
1526,25055,1,330
1526,25056,1,175
1526,25057,1,330
1526,25058,1,330
1526,25059,1,175
1526,25062,1,330
1526,25063,1,330
1526,25064,1,175
1526,25067,1,175
1526,25068,1,180
1526,25073,1,155
1526,25074,1,175
1526,25076,1,175
1526,25077,1,175
1526,25079,1,1045
1526,25080,1,1045
1526,25081,1,1045
1526,25082,1,1045
1526,25083,1,1045
1526,25084,1,1045
1526,25085,1,1045
1526,25086,1,1045
1526,25087,1,1045
1526,25088,1,1045
1526,25089,1,450
1526,25090,1,450
1526,25091,1,450
1526,25095,1,175
1526,25096,1,240
1526,25097,1,175
1526,25098,1,175
1526,25099,1,175
1526,25100,1,175
1526,25101,1,175
1526,25102,1,645
1526,25103,1,645
1526,25104,1,645
1526,25105,1,645
1526,25106,1,645
1526,25108,1,175
1526,25109,1,175
1526,25110,1,175
1526,25111,1,175
1526,25114,1,175
1526,25115,1,565
1526,25116,1,565
1526,25117,1,565
1526,25118,1,565
1526,25119,1,460
1526,25120,1,460
1526,25121,1,460
1526,25122,1,350
1526,25123,1,175
1526,25127,1,175
1526,25128,1,175
1526,25129,1,175
1526,25133,1,395
1526,25134,1,395
1526,25136,1,330
1526,25137,1,330
1526,25139,1,330
1526,25140,1,330
1526,25141,1,175
1526,25144,1,175
1526,25147,1,175
1526,25148,1,235
1526,25149,1,235
1526,25150,1,120
1526,25153,1,155
1526,25154,1,815
1526,25155,1,815
1526,25156,1,815
1526,25157,1,815
1526,25158,1,815
1526,25159,1,815
1526,25160,1,175
1526,25167,1,175
1526,25168,1,175
1526,25169,1,175
1526,25170,1,160
1526,25171,1,160
1526,25173,1,460
1526,25174,1,460
1526,25175,1,460
1526,25176,1,845
1526,25177,1,845
1526,25178,1,845
1526,25179,1,845
1526,25180,1,845
1526,25181,1,845
1526,25182,1,845
1526,25183,1,175
1526,25185,1,330
1526,25186,1,330
1526,25187,1,700
1526,25188,1,700
1526,25189,1,350
1526,25190,1,175
1526,25191,1,330
1526,25192,1,330
1526,25193,1,120
1526,25195,1,175
1526,25196,1,790
1526,25197,1,790
1526,25198,1,790
1526,25199,1,790
1526,25200,1,790
1526,25202,1,120
1526,25203,1,175
1526,25210,1,895
1526,25211,1,895
1526,25212,1,895
1526,25213,1,895
1526,25214,1,895
1526,25215,1,895
1526,25216,1,895
1526,25218,1,175
1526,25219,1,175
1526,25221,1,350
1526,25223,1,175
1526,25224,1,175
1526,25225,1,175
1526,25227,1,175
1526,25228,1,175
1526,25229,1,295
1526,25230,1,295
1526,25231,1,175
1526,25232,1,330
1526,25233,1,330
1526,25234,1,460
1526,25235,1,460
1526,25236,1,460
1526,25239,1,175
1526,25241,1,120
1526,25242,1,175
1526,25243,1,175
